,MAE,RMSE,MAPE
Naive,68.0,105.26132893147916,33.791432792890056
Seasonal_Naive,151.1315789473684,176.15132549511006,50.55953084437807
Prophet,206.40989217398268,241.30159666589927,55.20972318971836
LSTM,80.29493742553811,111.2543358275456,40.06815182454924
Transformer,74.85229864022796,105.10651394985815,32.763403702318286
Deep Ensemble (LSTM+TFT),71.0846146033385,101.75076231687544,34.79003818969805
BiLSTM-Attention (Full Ecosystem + Denoising),92.98920366991506,122.43817065837962,43.65822660742735
CNN-LSTM (Full Data),95.07564491857038,124.52431527143295,43.01508031239765
STL-LSTM Hybrid (Full Ecosystem),178.0125450372825,203.16317672850704,47.00370134665833
Joint End-to-End LSTM-Transformer (Full Data),91.60086030643173,122.79117733448592,32.89470374684104
End-to-End Mixed STL-LSTM,90.7849153201831,120.78327777820591,39.58596546065452
Super-Optimized Transformer,63.768947472479375,93.53783527263636,30.83282436564075
Advanced Ensemble (Transformer + CNN-LSTM),70.79406524278494,83.11772676517938,17.554576010097154
